Road_ID,Length,Number_of_Bends,Traffic_Volume,Accident_Risk
R001,19.35,6,2149,Medium
R002,47.59,16,5523,High
R003,36.87,19,4648,High
R004,30.33,3,3208,Medium
R005,8.64,4,7258,High
R006,8.64,6,7500,High
R007,3.85,12,3270,Medium
R008,43.44,14,9974,High
R009,30.45,10,2355,High
R010,35.7,3,1254,Medium
R011,2.01,12,4599,High
R012,48.53,6,6395,High
R013,41.79,18,6297,High
R014,11.4,1,9988,High
R015,9.91,9,1748,Medium
R016,9.99,12,5639,High
R017,15.91,5,9737,High
R018,26.71,11,4299,High
R019,22.17,11,8545,High
R020,15.27,19,2657,High
R021,30.98,10,5692,High
R022,7.84,6,198,Low
R023,15.32,0,2300,Low
R024,18.95,0,3061,Low
R025,23.35,19,5073,High
R026,39.47,12,4533,High
R027,10.78,8,2969,Medium
R028,26.2,2,1056,Low
R029,30.03,6,8452,High
R030,3.28,5,5799,Medium
R031,30.77,7,7044,High
R032,9.36,8,4593,Medium
R033,4.19,4,9592,High
R034,47.5,0,5011,Medium
R035,48.32,18,4087,High
R036,40.61,9,9819,High
R037,15.93,11,6115,High
R038,5.79,14,1318,Medium
R039,34.53,8,4596,High
R040,22.57,19,4835,High
R041,6.98,16,4655,High
R042,25.26,16,9246,High
R043,2.69,19,8150,High
R044,45.56,11,3546,High
R045,13.68,6,1145,Medium
R046,33.46,1,6993,High
R047,16.27,2,1793,Low
R048,26.48,16,3536,High
R049,27.79,4,8854,High
R050,10.06,16,5995,High
R051,48.51,16,3454,High
R052,38.98,16,325,High
R053,47.04,1,4993,High
R054,44.85,1,7122,High
R055,30.3,4,9251,High
R056,46.17,0,5700,High
R057,5.34,0,8096,Medium
R058,10.6,18,9107,High
R059,3.22,1,7783,Medium
R060,16.94,11,4742,High
R061,20.05,5,7779,High
R062,14.3,3,8308,High
R063,41.61,10,7439,High
R064,18.48,16,9535,High
R065,14.77,5,2305,Medium
R066,27.59,4,1169,Medium
R067,7.91,19,3544,High
R068,40.31,1,1160,Medium
R069,4.65,5,2427,Medium
R070,49.36,10,3520,High
R071,38.84,15,401,High
R072,10.74,15,706,Medium
R073,1.27,0,3270,Low
R074,40.96,8,799,Medium
R075,35.64,5,5188,High
R076,36.72,15,9431,High
R077,38.79,2,290,Medium
R078,4.63,19,1080,High
R079,18.56,3,3075,Medium
R080,6.68,18,6202,High
R081,43.29,2,1284,Medium
R082,31.54,18,3427,High
R083,17.21,19,3494,High
R084,4.11,6,8419,High
R085,16.24,19,1916,High
R086,16.93,8,5954,High
R087,36.75,0,6809,High
R088,32.24,7,669,Medium
R089,44.47,6,5542,High
R090,24.14,17,1995,High
R091,6.86,7,2833,Medium
R092,35.95,0,3963,Medium
R093,38.28,10,7555,High
R094,28.5,17,4114,High
R095,38.78,9,1786,High
R096,25.2,2,3109,Medium
R097,26.61,6,7906,High
R098,21.95,15,254,Medium
R099,2.25,15,1509,Medium
R100,6.29,19,884,High
